标记	英文	音标	中文
	age	eidV	n.年龄, 成年, 使用年限, 同时期的人, 时代v.变老, 上年纪, 成熟
	agency	5eidVEnsi	n.代理处, 行销处, 代理, 中介
	agenda	E5dVendE	n.议程
	agent	5eidVEnt	n.代理(商)
	aggravate	5A^rEveit	vt.使恶化, 加重
	aggressive	E5^resiv	adj.好斗的, 敢作敢为的, 有闯劲的, 侵略性的
	agitate	5AdViteit	v.搅动, 摇动, 煽动, 激动
	ago	E5^Eu	adv.以前的, 以往的
	agony	5A^Eni	n.苦恼, 极大的痛苦
	agree	E5^ri:	vi.同意, 赞成...的意见, 与...一致, 承认, 适合vt.同意
	agreeable	E5^riEbl	adj.使人愉快的, 惬意的, 适合的
	agreement	E5^ri:mEnt	n.同意, 一致, 协定, 协议
	agriculture	5A^rikQltFE	n.农业, 农艺, 农学
	ahead	E5hed	adj.adv.在前, 向前, 提前, 在前面
	aid	eid	n.帮助, 援助, 帮助者, 有帮助的事物vt.资助, 援助, 帮助
	aim	eim	n.目标, 目的, 瞄准v.对...瞄准, 打算
	air	ZE	n.空气, 样子, 天空, 空中, 曲调vt.晾干, 使通风, 宣扬, 夸耀, 显示
	air-conditioning		n. 空调，空调系统空调机
	aircraft	5ZEkrB:ft	n.航行器
	airline	5ZElain	n.定期航线
	airplane	5ZE7plein	n.飞机
	airport	5ZEpC:t	n.<主美>小型民用机场, 私人飞机降落场
	aisle	ail	n.走廊, 过道
	alarm	E5lB:m	n.警报, 惊慌, 警告器vt.恐吓, 警告
	album	5AlbEm	n.集邮本, 照相簿, 签名纪念册
	alcohol	5AlkEhCl	n.酒精, 酒
	alert	E5lE:t	adj.提防的, 警惕的n.警惕, 警报
	alien	5eiljEn	n.外侨adj.外国的, 相异的, 不同, 背道而驰
	alike	E5laik	adj.相同的, 相似的adv.以同样的方式, 类似于
	alive	E5laiv	adj.活着的, 活泼的
	all	C:l	adj.全部的, 所有的, 整个的adv.完全, 更加, 越发pron.全部
	allege	E5ledV	vt.宣称, 断言
	alleviate	E5li:vieit	vt.使(痛苦等)易于忍受, 减轻
	alliance	E5laiEns	n.联盟, 联合
	allocate	5AlEukeit	vt.分派, 分配
	allow	E5lau	vt.允许, 承认
	allowance	E5lauEns	n.津贴, 补助, 宽容, 允许vt.定量供应
	alloy	5AlCi	n.合金vt.使成合金, 减低成色
	ally	E5lai, A5lai	v.结盟, 与...(在血统, 性质等上)有关联, 同盟n.同盟国, 支持者
	almost	5C:lmEust	adv.几乎, 差不多
	alone	E5lEun	adj.单独的, 独一无二的, 孤独的, 独自的adv.独自地
	along	E5lCN	adv.往前, 向前prep.顺着, 沿着
	alongside	E5lCN5said	adv.在旁prep.横靠
	aloud	E5laud	adv.大声地
	alphabet	5A:lfEbit	n.字母表
	already	C:l5redi	adv.已经
	also	5C:lsEu	adv.也, 同样
	alter	5C:ltE	v.改变
	alternate	C:l5tE:nit	adj.交替的, 轮流的, 预备的v.交替, 轮流, 改变
	alternative	C:l5tE:nEtiv	n.二中择一, 可供选择的办法, 事物adj.选择性的, 二中择一的
	although	C:l5TEu	conj.虽然, 尽管
	altitude	5Altitju:d	n.(尤指海拔)高度, 高处(海拔甚高的地方), (等级, 地位等)高等
	altogether	7C:ltE5^eTE	adv.完全地, 总而言之
	aluminium	7Alju:5minjEm	n.[化]铝adj.铝的
	aluminum	E5lju:minEm	n.[化]铝
	always	5C:lwEz, 5C:lweiz	adv.总是, 永远, 始终
	amateur	5AmEtE(:), 5AmEtjuE	n.业余爱好者, 业余艺术家
	amaze	E5meiz	vt.使吃惊
	ambassador	Am5bAsEdE	n.大使
	ambiguous	7Am5bi^juEs	adj.暧昧的, 不明确的
	ambition	Am5biFEn	n.野心, 雄心
	ambitious	Am5biFEs	adj.有雄心的, 野心勃勃的
	ambulance	5AmbjulEns	n.战时流动医院, 救护车
	amend	E5mend	v.修正, 改进, 改正
	amiable	5eimjEbl	adj.亲切的, 和蔼可亲的
	amid	E5mid	prep.在...中
	among	E5mQN	prep.在...之中, ...之一
	amount	E5maunt	n.数量vi.(to) 总计, 等于
	ample	5Ampl	adj.充足的, 丰富的
	amplifier	5Ampli7faiE	n.[电工]扩音器, 放大器
	amplify	5Amplifai	vt.放大, 增强v.扩大
	amuse	E5mju:z	vt.使发笑, 使愉快
	an	" En;An;"	art.一（在元音字母前代替不定代词a）[域] Netherlands Antilles , 荷兰属地
	analogue	5AnElC^	n.相似物, 类似情况, 对等的人
	analogy	E5nAlEdVi	n.类似, 类推
	analyse	5AnElaiz	vt.分析, 分解n.分析
	analysis	E5nAlisis	n.分析, 分解
	analytic	7AnE5litik	adj.分析的, 解析的
	analyze	5AnElaiz	vt.分析, 分解
	ancestor	5AnsistE	n.祖先, 祖宗
	anchor	5ANkE	n.锚v.抛锚, 锚定
	ancient	5einFEnt	adj.远古的, 旧的
	and	" End, nd;And;"	[连接并列的名词、代词或数词]同, 和, 与, 如： Father and I went to Xinhua bookstore yesterday. 父亲和我昨天到新华书店去过。
	anecdote	5AnikdEut	n.轶事, 奇闻
	angel	5eindVEl	n.天使, 完善可爱的人
	anger	5AN^E	n.怒, 愤怒v.恼火
	angle	5AN^l	n.[数]角, 角落vi.钓鱼, 追逐
	angry	5AN^ri	adj.生气的, 愤怒的, 狂暴的(风雨等)
	anguish	5AN^wiF	n.痛苦, 苦恼vt.使极苦闷, 使极痛苦vi.感到痛苦
	animal	5AnimEl	n.动物
	ankle	5ANkl	n.[解]踝
	anniversary	7Ani5vE:sEri	n.周年纪念
	announce	E5nauns	vt.宣布, 通告
	annoy	E5nCi	vt.使苦恼, 骚扰
	annual	5AnjuEl	n.一年生植物, 年刊, 年鉴adj.一年一次的, 每年的, 一年生的
	anonymous	E5nCnimEs	adj.匿名的
	another	E5nQTE	adj.另外的, 又一, 不同的prep.另一个, 另一个人, 同类的东西
	answer	5B:nsE	n.答案, 回答, 答辩, 抗辩v.回答说, 答复说, 符合, 反响, 响应
	ant	Ant	n.蚂蚁
	antenna	An5tenE	n.天线
	anticipate	An5tisipeit	vt.预期, 期望, 过早使用, 先人一着, 占先v.预订, 预见, 可以预料
	antique	An5ti:k	n.古物, 古董adj.古时的, 过时的
	anxiety	AN^5zaiEti	n.忧虑, 焦急, 渴望, 热望
	anxious	5ANkFEs	adj.观念的, 担忧的, 渴望的, 盼望的
	any	5eni	adj.任何的, 任何一种, 所有的pron.无论那一个, 任何
	anybody	5eni7bCdi	pron.任何人, 重要人物
	anyhow	5enihau	adv.无论如何, 总之
	anyone	5eniwQn	pron.任何一个
	anything	5eniWiN	pron.任何事
	anyway	5eniwei	adv.无论如何, 总之
	anywhere	5eniwZE	adv.无论何处
	apart	E5pB:t	adv.分离, 分成零件, 分别地, 分离着adj.分开的
	apartment	E5pB:tmEnt	n.<美>公寓住宅, 单元住宅, 房间
	apologise	E`pClEdVaIz	vi.<英>=apologize
	apologize	E5pClEdVaiz	vi.道歉, 辩白
	apology	E5pClEdVi	n.(为某种思想, 宗教, 哲学等)辩解, 道歉
	appal	E5pC:l	v.惊骇
	appall	E5pC:l	vt.使胆寒, 使惊骇
	apparatus	7ApE5reitEs	n.器械, 设备, 仪器
	apparent	E5pArEnt	adj.显然的, 外观上的
	appeal	E5pi:l	n.请求, 呼吁, 上诉, 吸引力, 要求vi.求助, 诉请, 要求vt.控诉
	appear	E5piE	vi.出现, 看来, 似乎, 公开露面, 出版, 发表
	appearance	E5piErEns	n.出现, 露面, 外貌, 外观
	appendix	E5pendiks	n.附录, 附属品, [解]阑尾
	appetite	5Apitait	n.食欲, 胃口, 欲望, 爱好
	applaud	E5plC:d	v.拍手喝彩, 称赞, 赞同
	applause	E5plC:z	n.鼓掌欢迎, 欢呼
	apple	5Apl	n.苹果, 似苹果的果实
	appliance	E5plaiEns	n.用具, 器具
	applicable	5AplikEbl	adj.可适用的, 可应用的
	application	7Apli5keiFEn	n.请求, 申请, 申请表, 应用, 运用, 施用, 敷用应用,应用程序,应用软件
	apply	E5plai	vt.申请, 应用vi.申请, 适用
	appoint	E5pCint	vt.约定, 指定(时间,地点), 任命, 委任
	appointment	E5pCintmEnt	n.约会, 指定
	appraisal	E5preizEl	n.评价, 估价(尤指估价财产,以便征税), 鉴定
	appreciate	E5pri:Fieit	vt.赏识, 鉴赏, 感激vi.增值, 涨价
	approach	E5prEutF	n.接近, 逼近, 走进, 方法, 步骤, 途径, 通路vt.接近, 动手处理vi.靠近
	appropriate	E5prEupriit	adj.适当的
	approval	E5pru:vEl	n.赞成, 承认, 正式批准
	approve	E5pru:v	vi.赞成, 满意vt.批准, 通过v.批准
	approximate	E5prCksimeit	adj.近似的, 大约的v.近似, 接近, 接近, 约计
	April	5eiprEl	n.四月(略作Apr)
	apt	Apt	adj.易于...的, 有...倾向的, 灵敏的, 灵巧的, 适当的, 切题的, 敏捷, 倾向是
	arbitrary	5B:bitrEri	adj.任意的, 武断的, 独裁的, 专断的
	arch	B:tF	n.拱门, 弓形结构, 拱形v.(使)弯成弓形adj.主要
	architect	5B:kitekt	n.建筑师
	architecture	5B:kitektFE	n.建筑, 建筑学体系机构
	area	5ZEriE	n.范围, 区域, 面积, 地区, 空地
	argue	5B:^ju:	vi.争论, 辩论vt.说服
	argument	5B:^jumEnt	n.争论, 辩论, 论据, 论点, _ (for,against), 意见
	arise	E5raiz	vi.出现, 发生, 起因于
	arithmetic	E5riWmEtik	n.算术, 算法
	arm	B:m	n.臂, 臂状物, 衣袖, 海湾, 武器vt.供给, 提供, 武装, 装备vi.武装起来
	army	5B:mi	n.陆军, 军队, 大群, 大军
	around	E5raund	adv.周围, 四周, 到处, 大约, 左右prep.在...周围, 四处
	arouse	E5rauz	vt.唤醒, 唤起, 鼓励, 引起vi.睡醒
	arrange	E5reindV	v.安排, 排列, 协商
	array	E5rei	n.排列, 编队, 军队, 衣服, 大批vt.部署, 穿着, 排列
	arrest	E5rest	vt.逮捕, 拘留, 吸引n.逮捕, 拘留
	arrival	E5raivEl	n.到来, 到达, 到达者
	arrive	E5raiv	vi.到达, 抵达
	arrogant	5ArE^Ent	adj.傲慢的, 自大的
	arrow	5ArEu	n.箭, 箭头记号
	art	B:t	n.艺术, 艺术品, 技术, 巧妙, 美术
	artery	5B:tEri	n.动脉, 要道
	article	5B:tikl	n.文章, 论文, 物品, 商品, 项目, 条款v.清楚说出adj.表达清晰的
	articulate	B:5tikjulit	adj.有关节的, 发音清晰的vt.用关节连接, 接合, 清晰明白地说
	artificial	7B:ti5fiFEl	adj.人造的, 假的, 非原产地的
	artist	5B:tist	n.艺术家, 画家
	artistic	B:5tistik	adj.艺术的, 有美感的, 风雅的
	as	As	adv.同样地, 被看作, 象prep.当做conj.与...一样, 当...之时, 象, 因为[域] American Samoa, 东萨摩亚abbr.[军] Air to Surface, 空对地
	ascend	E5send	v.攀登, 上升
	ascertain	7AsE5tein	vt.确定, 探知
	ash	AF	n.灰, 灰烬, [植]岑树
	ashamed	E5Feimd	adj.惭愧的, 羞耻的
	ashore	E5FC:	adv.向岸地, 在岸上地
	aside	E5said	adv.在旁边, 到旁边
	ask	B:sk	vi.询问, 问, 要求vt.问, 要求, 需要, 邀请
	asleep	E5sli:p	adj.睡着的, 睡熟的
	aspect	5Aspekt	n.样子, 外表, 面貌, (问题等的)方面
	aspire	Es5paiE	vi.热望, 立志
	assassinate	E5sAsineit	vt.暗杀, 行刺
	assault	E5sC:lt	n.攻击, 袭击v.袭击
	assemble	E5sembl	vt.集合, 聚集, 装配vi.集合
	assembly	E5sembli	n.集合, 装配, 集会, 集结, 汇编
	assert	E5sE:t	v.断言, 声称
	assess	E5ses	vt.估定, 评定
	asset	5Aset	n.资产, 有用的东西
	assign	E5sain	vt.分配, 指派v.赋值[计] 将驱动器符重定向至第二个驱动器符
	assignment	E5sainmEnt	n.分配, 委派, 任务, (课外)作业
	assimilate	E5simileit	v.吸收
	assist	E5sist	v.援助, 帮助
	assistance	E5sistEns	n.协助, 援助, 补助, <英>国家补助
	assistant	E`sIstEnt	n.助手, 助教adj.辅助的, 助理的
	associate	E5sEuFieit	vt.使发生联系, 使联合vi.交往, 结交n.合作人, 同事adj.副的
	association	E7sEusi5eiFEn	n.协会, 联合, 结交, 联想
	assume	E5sju:m	vt.假定, 设想, 采取, 呈现
	assumption	E5sQmpFEn	n.假定, 设想, 担任, 承当, 假装, 作态
	assurance	E5FuErEns	n.确信, 断言, 保证, 担保
	assure	E5FuE	vt.断然地说, 确告, 保证, 担保
	astonish	Es5tCniF	vt.使惊讶
	astronaut	5AstrEnC:t	n.太空人, 宇航员
	astronomy	E5strRnEmI	n.天文学
	at	At, Et	prep.在, 于, 向, 对准, 在...方面[域] Austria , 奥地利
	athlete	5AWli:t	n.运动员, 运动选手
	atmosphere	5AtmEsfiE	n.大气, 空气, 气氛
	atom	5AtEm	n.原子
	attach	E5tAtF	vt.缚上, 系上, 贴上v.配属, 隶属于
	attack	E5tAk	n.进攻, 攻击, (用语言)抨击, 批评, 疾病发作, 侵袭vt.攻击, 抨击, 动手处理(某事)vi.攻击
	attain	E5tein	vt.达到, 获得v.达到
	attempt	E5tempt	n.努力, 尝试, 企图vt.尝试, 企图
	attend	E5tend	vt.出席, 参加, 照顾, 护理, 注意vi.专心, 留意
	attendance	E5tendEns	n.出席, 出席的人数, 伺候, 照料
	attendant	E5tendEnt	n.服务员
	attention	E5tenFEn	n.注意, 关心, 关注, 注意力, (口令)立正!
	attitude	5Atitju:d	n.姿势, 态度, 看法, 意见
	attorney	E5tE:ni	n.<美>律师, (业务或法律事务上的)代理人
	attract	E5trAkt	vt.吸引vi.有吸引力, 引起注意
	attractive	E5trAktiv	adj.吸引人的, 有魅力的
	attribute	E5tribju(:)t	n.属性, 品质, 特征, 加于, 归结于
	auction	5C:kFEn	n.拍卖vt.拍卖
	audience	5C:djEns	n.听众, 观众, 接见, 拜见
	audio	5C:diEu	adj.音频的, 声频的, 声音的
	audit	5C:dit	n.审计, 稽核, 查帐vt.稽核, 旁听vi.查账
	auditorium	7C:di5tC:riEm	n.听众席, 观众席, <美>会堂, 礼堂
	augment	C: ^5ment	v.增加, 增大n.增加
	August	5C:^Est	n. 八月
	aunt	B:nt	n.姑妈, 伯母, 舅妈, 阿姨
	aural	5C:rEl	adj.听觉的
	authentic	C:5Wentik	adj.可信的
	author	5C:WE	n.作家, 创造者
	authority	C:5WCriti	n.权威, 威信, 权威人士, 权力, 职权, 典据, 著作权威
	auto	5C:tEu	n.<美口>汽车
	automatic	7C:tE5mAtik	n.自动机械adj.自动的, 无意识的, 机械的
	automation	C:tE5meiFEn	n.自动控制, 自动操作
	automobile	5C:tEmEubi:l, 7C:tE5mEubil, 7C:tEmE5bi:l	n.<主美>汽车(=<英>motor car,car)
	autonomy	C:5tCnEmi	n.自治
	autumn	5C:tEm	n.秋天, 成熟期, 渐衰期
	auxiliary	C:^5ziljEri	adj.辅助的, 补助的
	avail	E5veil	vi.有益于, 有帮助, 有用, 有利vt.有利于n.效用, 利益
	available	E5veilEbl	adj.可用到的, 可利用的, 有用的, 有空的, 接受探访的
	avenue	5Avinju:	n.林荫道, 大街, 方法, 途径, 路
	average	5AvEridV	n.平均, 平均水平, 平均数, 海损adj.一般的, 通常的, 平均的vt.平均为, 均分, 使平衡, 达到平均水平vi.买进, 卖出
	avert	E5vE:t	v.转移
	aviation	7eivi5eiFEn	n.飞行, 航空, 航空学, 航空术
	avoid	E5vCid	vt.避免, 消除
	await	E5weit	vt.等候
	awake	E5weik	vi.醒, 觉醒, 领会, 觉悟vt.唤醒adj.警觉的, 醒的
	award	E5wC:d	n.奖, 奖品vt.授予, 判给
	aware	E5wZE	adj.知道的, 明白的, 意识到的
	away	E5wei	adv.在远处, 到远处, 离去
	awe	C:	n.敬畏vt.敬畏
	awful	5C:ful	adj.可怕的, 威严的, <口>极度的, 糟糕的
	awkward	5C:kwEd	adj.难使用的, 笨拙的
	ax	Aks	n.斧头vt.削减
	axe		n.斧, (经费的)大削减
	axis	5Aksis	n.轴
	baby	5beibi	n.婴孩
	bachelor	5bAtFElE	n.单身汉, 文理学士, 幼雄兽
	back	bAk	adj.后面的, 在后面, 早过去的, 前(欠)的钱adv.向后地n.背部, 后面v.后退, 支持
	background	5bAk^raund	n.背景, 后台, 不重要或不引人注目的地方或位置
	backward	5bAkwEd	adv.adj.向后地(的), 相反地(的), 追溯, 退步, 由好变坏
	bacon	5beikEn	n.咸肉, 熏肉
	bacterium	bAk5tiEriEm	n.细菌
	bad	bAd	adj.劣质的, 有害的, 坏的, 不利的, 不健康的, 严重的
	badge	bAdV	n.徽章, 证章
	badly	5bAdli	adv.严重地, 恶劣地
	badminton	5bAdmintEn	n.羽毛球
	bag	bA^	n.袋子, 猎获物
	baggage	5bA^idV	n.行李, [军] 辎重
	bait	beit	n.饵, 诱惑物vt.以饵引诱(动物), 把饵装上, 欺负, 折磨vi.中途休息
	bake	beik	v.烘焙, 烤, 烧硬
	balance	5bAlEns	n.秤, 天平, 平衡, [商] 收支差额, 结余, 余额v.平衡, 称, 权衡, 对比, 结算n.资产平稳表
	balcony	5bAlkEni	n.阳台, 包厢, (戏院)楼厅
	bald	bC:ld	adj.光秃的, 单调的, 枯燥的
	ball	bC:l	n.球, 球状物, 子弹, 舞会, 尽情地玩
	ballet	5bAlei, bA5lei	n.芭蕾舞, 芭蕾舞剧, 芭蕾舞乐曲
	balloon	bE5lu:n	n.气球
	ballot	5bAlEt	n.选举票, 投票, 票数vi.投票
	ban	bB:n	n.禁令vt.禁止, 取缔(书刊等)
	banana	bE5nB:nE	n.香蕉
	band	bAnd	n.带子, 镶边, 波段, 队, 乐队v.联合, 结合
	bandage	5bAndidV	n.绷带
	bang	bAN	n.重击, 突然巨响v.发巨响, 重击
	bank	bANk	n.银行, 堤, 岸, 沙洲, 浅滩, 一堆(土), (云)层, 储藏所(库)vt.存(款)于银行, 储蓄, (车或飞机)倾斜转弯
	bankrupt	5bANkrQpt	n.破产者adj.破产了的, 完全丧失vt.使破产
	banner	5bAnE	n.旗帜, 横幅, 标语
	banquet	5bANkwit	n.宴会
	bar	bB:(r)	n.条, 棒(常用作栅栏,扣栓物), 横木, 酒吧间, 栅, 障碍物vt.禁止, 阻挡, 妨碍, 把门关住, 除...之外, (Bar)律师业
	barbecue	5bB:bIkju:	n.吃烤烧肉的野餐
	barber	5bB:bE	n.理发员, 理发师vt.为...理发, 刮脸等
	bare	bZE	adj.赤裸的, 无遮蔽的, 空的vt.使赤裸, 露出
	barely	5bZEli	adv.仅仅, 刚刚, 几乎不能
	bargain	5bB:^in	n.契约, 合同, 成交商品, 便宜货v.议价
	bark	bB:k	n.树皮, 吠声v.吠, 咆哮, 剥树皮
	barn	bB:n	n.[农]谷仓, 畜棚, 畜舍, 机器房
	barrel	5bArEl	n.桶vt.装入桶内
	barren	5bArEn	adj.不生育的, 不孕的, 贫瘠的, 没有结果的, 无益的, 单调的, 无聊的, 空洞的n.荒地
	barrier	5bAriE	n.(阻碍通道的)障碍物, 栅栏, 屏障
	base	beis	n.底部, 基础, 根据地, 基地, 本部, 基数, (运动)出发点vt.以...作基础, 基于... adj.卑鄙的, 低级的
	baseball	5beisbC:l	n.棒球, 棒球运动
	basement	5beismEnt	n.地下室, 墙脚
	basic	5beisik	n.基本, 要素, 基础adj.基本的, 碱性的n.[计]BASIC语言, 基本高级语言
	basin	5beisn	n.盆, 盆地, 水池
	basis	5beisis	n.基础, 基本, 根据, 主要成分(或要素), (认识论中的)基本原则或原理
	basket	bB:skit	n.篮, 一篮
